NAME OF FACILITY,ADDRESS OF FACILITY,Parcel ID,STREET ADDRESS OF FACILITY,STREET OF FACILITY,latitude,longitude
470 ATLANTIC AVENUE,470 ATLANTIC AVE,302956000,474 466,ATLANTIC,42.3541894,-71.0513553
100 CHAUNCY STREET,Essex & Lafayette,304513000,,AVENUE DE LAFAYETTE,51.57424469999999,0.4856781
ST BOTOLPH'S ASSISTED LIVING CTR,352 - 374 MASSACHUSETTS AVE,801106010,519,ALBANY,42.3420259,-71.0835164
SUFFOLK UNIVERSITY SCHOOL OF LAW,110 - 120 TREMONT ST,304758010,110,TREMONT,42.3567021,-71.0611383
LIBERTY PLACE,646 - 670 WASHINGTON ST,304965010,660,WASHINGTON,42.351932,-71.06203099999999
100 SUMMER ST,100 SUMMER ST,304220000,100,SUMMER,42.3538104,-71.057391
NSTAR SERVICES LOT,67 - 93 KINGSTON ST/ 82 ESSEX ST,304520000,,CHAUNCY,42.35285409999999,-71.059134
CANAL STREET LOT,120-126 CANAL STREET,301608000,,CANAL,42.3645596,-71.0605428
700 HARRISON AVENUE,700 HARRISON AVE,801212000,700,HARRISON,42.3384041,-71.070437
YAWKEY CTR GARAGE/ CHARLES ST JAIL HOTEL,239 CHARLES ST/ FRUIT ST,300445000,32 239,FRUIT,42.3624405,-71.0707208
179 Lincoln Street,179 LINCOLN STREET,305332000,179,LINCOLN,42.3503256,-71.0591553
Millennium Tower/Burnham Building,1 Franklin Street and 10 Summer Street,304586010,,HAWLEY,42.3557771,-71.0592252
South Station Air Rights Project,640-720 Atlantic Ave.,305364400,,ATLANTIC,42.3491737,-71.0564625
Jerusalem,Jerusalem Place,301344000,,JERUSALEM,42.36464,-71.0559431
Merano,175 Causeway St.,301523035,101,BEVERLY,42.3660026,-71.06007360000001
,185 Franklin St.,304176014,185,FRANKLIN,42.3556623,-71.0551085
Hancock Tower,200 Clarendon Street,401134000,200,CLARENDON,42.349321,-71.0751178
Green Charge and Park,150 Friend Street,301628000,158 150,FRIEND,42.3631962,-71.0598242
Liberty Mutual,157 Berkeley Street,501147000,147 153,COLUMBUS,42.34911,-71.0718557
Parcel 24,99 Kneeland St,304980010,99,KNEELAND,42.349625,-71.06026949999999
Ink Block South End,300 Harrison Ave,306625000,300,HARRISON,42.34608530000001,-71.0628716
100 State Street Condominium,100 State St,303740000,,CHATHAM,42.3592928,-71.0550464
One Canal Street,1 Canal St,301560010,1,CANAL,42.3637626,-71.05897159999999
BIOSQUARE,710 ALBANY ST,801066055,710,ALBANY,42.33487239999999,-71.0706889
BIOSQUARE II,600-610 ALBANY ST,801030020,610,ALBANY,42.3364959,-71.067945
Biosquare Parcel E,Behind 650 Albany St,801066250,,ALBANY,42.3360172,-71.0695187
MassDOT Mobility Hub,Albany Street and Frontage Road,801039002,,W FOURTH ST,42.3371013,-71.0688534
Boston Garden Expansion,100 Legends Way,301925100,,NASHUA,42.3663097,-71.0622259
South End Hotel,223 and 241 Albany St,306625000,300,HARRISON,42.3448939,-71.061966
,399 Boylston St,501230000,399,BOYLSTON,42.3518033,-71.07215479999999
660 Harrison,660 Harrison Ave,801188050,660,HARRISON,42.3387996,-71.06992629999999
The Factory at 46 Wareham Street,46 Wareham St,801108000,46,WAREHAM,42.33908,-71.0670015
The Onyx Hotel,169 Portland St,301648000,169 171,PORTLAND,42.3643217,-71.06145339999999
Winthrop Tower,115 Federal Street,304225000,115,FEDERAL,42.354549,-71.05705
128-130 Newbury St,128-130 Newbury St,501319000,128 130,NEWBURY,42.3509915,-71.07653839999999
324 Albany Street,324 Albany Street,306533000,65 101,PAUL SULLIVAN,42.3419372,-71.0633234
Leman Place,Leman Place,304046000,,HIGH ST,42.3567097,-71.05233559999999
Jacques,79 Broadway Street,500171000,8 6,PIEDMONT ST,42.3499486,-71.0674889
Teddy Ebersol Fields,LEVERETT ST,300943000,,LEVERETT ST,42.389472,-70.9963587
Boston Commons Parks Yard,BEACON ST,500812004,,BEACON ST,42.341483,-71.1243839
Public Garden,ARLINGTON ST,501259000,,ARLINGTON ST,42.3516528,-71.0705629
Trinity Church,206 CLARENDON ST,401091000,206,CLARENDON ST,42.3499981,-71.0754975
Shriners Hospital for Children,51 Blossom Street,300600000,51,BLOSSOM,42.3630268,-71.0665836
Dunkin Donuts,618 Massachusetts Avenue,900863000,616 620,MASSACHUSETTS AV,42.3369511,-71.0771766
Marriott Vacation Club,3 McKinley Sq,303822010,60 74,TREMONT,42.35903099999999,-71.0535143
13 N Hanover Ct Parking,350 NORTH ST,303135133,350,NORTH ST,42.3655117,-71.05182649999999
100 Fulton Court,100 FULTON ST,303478134,81,RICHMOND ST,42.362617,-71.053035
Affiliated Family Funeral,580 COMMERCIAL ST,301943000,,COMMERCIAL,42.367978,-71.0567695
Bostonian Hotel,CREEK SQUARE,303343000,,CREEK SQ,42.3613292,-71.05651840000002
PIEDMONT PARKING,44 PIEDMONT,500804000,,PIEDMONT ST,42.3496944,-71.0689726
65-69 Atlantic Ave,65 69 ATLANTIC AV,303548000,65 69,ATLANTIC,42.3629039,-71.0512906
STOUGHTON ST LOT,44 50 STOUGHTON ST,801415000,,ALBANY,42.3164121,-71.0630087
Boston Medical Center,732 HARRISON AVE,801301000,,E NEWTON,42.3374269,-71.0715189
443 ALBANY,443 ALBANY ST,306510000,443,ALBANY,42.3403887,-71.0652451
BRENTON CLOTHING,E BERKELEY ST,306578000,,E BERKELEY,42.3440218,-71.06620819999999
76 Canal St,165 Friend St,301615000,,CHAPEL,42.363659,-71.05990969999999
Bay Cove Human Services,165 Friend St,301617000,,CHAPEL,42.363659,-71.05990969999999
KINGSTON @ PURCHASE ST LOT,130 KINGSTON ST,304431000,85 91,ESSEX,42.3519414,-71.0592963
